,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,cluster_km,cluster_ag
80,0.618,0.413,0.36363636363636365,0.4206280082512033,0.0302,0.249,0.0517,0.131,0.531,0.45313498643003364,I'm Eighteen,Alice Cooper,30,20
81,0.498,0.515,1.0,0.5205134082053633,0.0395,0.0936,0.0,0.1,0.616,0.59171074204096,No More Mr. Nice Guy,Alice Cooper,18,6
82,0.294,0.745,0.4545454545454546,0.6510199404079762,0.0461,0.05,0.125,0.676,0.347,0.6222917959595773,School's Out,Alice Cooper,35,8
83,0.256,0.924,0.4545454545454546,0.731515012606005,0.0935,0.0112,0.353,0.419,0.295,0.6518493131651831,Under My Wheels,Alice Cooper,25,1
84,0.438,0.717,1.0,0.46362594545037805,0.05,0.305,0.00122,0.07,0.593,0.5206050445076372,Welcome To My Nightmare,Alice Cooper,23,6
85,0.359,0.794,0.5454545454545454,0.7990831996332798,0.0338,0.0133,0.000132,0.111,0.423,0.45011532155725786,Down in a Hole,Alice In Chains,24,25
86,0.346,0.765,0.7272727272727273,0.6776071510428603,0.0413,0.00229,7.54e-06,0.213,0.644,0.49307144378884576,Man In The Box,Alice In Chains,18,12
87,0.527,0.838,0.2727272727272727,0.794269997707999,0.0323,0.0206,0.000662,0.07,0.721,0.5439750275567576,No Excuses,Alice In Chains,5,19
88,0.269,0.551,0.9090909090909092,0.6822828329131332,0.0274,0.0307,0.000619,0.118,0.202,0.6688094554414176,Rooster,Alice In Chains,29,36
89,0.159,0.946,0.8181818181818182,0.8060508824203529,0.0629,0.0235,8.06e-06,0.387,0.309,0.7641650997137803,Them Bones,Alice In Chains,29,22
90,0.305,0.832,0.5454545454545454,0.7040568416227366,0.0398,0.000332,2.4e-05,0.091,0.585,0.46627423373688165,Would?,Alice In Chains,1,19
91,0.453,0.607,0.2727272727272727,0.4556497822599128,0.0345,0.337,0.0237,0.0998,0.724,0.42362378310284465,Ain't Wastin' Time No More,Allman Brothers Band,21,7
92,0.491,0.47,0.36363636363636365,0.45335778134311255,0.0264,0.747,0.747,0.128,0.846,0.4351837271556795,Blue Sky,Allman Brothers Band,27,39
93,0.544,0.683,0.4545454545454546,0.5095576438230575,0.0318,0.107,0.00332,0.346,0.795,0.5987134004575811,Good Clean Fun,Allman Brothers Band,17,20
94,0.376,0.755,0.8181818181818182,0.5993123997249599,0.0327,0.062,0.869,0.057,0.793,0.5273159254902324,In Memory Of Elizabeth Reed,Allman Brothers Band,6,27
